pff_PLAYERNAME,Season,Position,TotalBoxPM,TotalPassBoxPM,TotalRunDBoxPM,PassPM,PassBoxPM,PlayerID,RunDPM,RunDBoxPM,PlayerName,team,position,TotalEPAR,PassEPAR,RunDEPAR,plays
Aaron Donald,2021,IDL,-58.3728558,-45.67006752,-12.70278828,-0.03748656260545426,-0.05596822,41239,-0.02309982618025066,-0.02873934,Aaron Donald,LA,DI,-59.06760274619846,-37.55717158440474,-21.510431161793722,1240
Micah Parsons,2022,EDGE,-52.18289894,-46.85136717,-5.33153177,-0.06492385639123906,-0.08119821,53441,-0.01228273584373186,-0.01303553,Micah Parsons,DAL,ED,-41.58334701517318,-42.52844111615948,0.9450941009862914,1040
Aaron Donald,2018,IDL,-48.19823629,-38.6912922,-9.50694409,-0.03744143377128316,-0.0550374,41239,-0.02357193910743997,-0.02370809,Aaron Donald,LA,DI,-82.5775518816351,-63.96435002654244,-18.61320185509266,1091
J.J. Watt,2015,EDGE,-45.29083943,-39.89960121,-5.39123822,-0.04058144085897782,-0.06128971,37084,-0.01185600607702713,-0.01407634,J.J. Watt,HST,DI,-93.79491557837942,-76.25558364525692,-17.539331933122497,1018
Cameron Heyward,2015,IDL,-43.44501194,-30.056184440000003,-13.3888275,-0.00491402262181729,-0.04180276,37104,-0.03785679205384939,-0.03570354,Cameron Heyward,PIT,DI,-30.030611790776135,-23.58528609816212,-6.4453256926140154,1131
Kenny Vaccaro,2019,S,-40.88100528,-38.84087856,-2.04012672,-0.03516047534714321,-0.04618416,39961,-0.00304854663793647,-0.00459488,Kenny Vaccaro,TEN,S,-22.535982380319705,-17.389204226713574,-5.146778153606134,1278
Trevon Diggs,2022,CB,-40.858787340000006,-43.5341907,2.67540336,-0.07400503216978571,-0.0573573,52459,0.00437911358843306,0.00530834,Trevon Diggs,DAL,CB,-3.3879066862885128,-5.465087624054473,2.0771809377659585,1235
Kyle Van Noy,2018,EDGE,-40.81188088,-31.738268100000003,-9.07361278,-0.07757735615080065,-0.0930741,41269,-0.01516667420983607,-0.02614874,Kyle Van Noy,NE,ED,-31.673021424018774,-20.89350790371144,-10.779513520307333,1182
Brian Poole,2016,CB,-40.78897692000001,-51.69322476000001,10.90424784,-0.03176225600838212,-0.06635844,43716,0.04147642284450545,0.04379216,Brian Poole,ATL,CB,-16.77955686137399,-14.859678919979295,-1.9198779413946978,1100
Chris Harris Jr.,2015,CB,-39.63330499999999,-51.9218364,12.2885314,-0.04793536831800812,-0.06218184,37724,0.02059203724948264,0.02857798,Chris Harris Jr.,DEN,CB,-29.931786181130082,-31.394513447566588,1.462727266436504,1248
Stephon Gilmore,2018,CB,-38.69818427,-44.61057747,5.9123932,-0.03419709720465297,-0.05460291,38540,0.00716159667607507,0.01572445,Stephon Gilmore,NE,CB,-45.25240365055869,-42.993305463453886,-2.2590981871048017,1240
Von Miller,2015,EDGE,-38.67436116,-35.4754899,-3.19887126,-0.04504423410700807,-0.06095445,37075,-0.01569874145884058,-0.00960622,Von Miller,DEN,ED,-47.41930872337815,-49.112776032829984,1.693467309451827,1005
Malcolm Jenkins,2018,S,-38.58501568,-38.31765453,-0.26736115,-0.04937797458114092,-0.04667193,34465,-0.00971288385464489,-7.5313e-4,Malcolm Jenkins,PHI,S,-21.337762399043427,-14.34041163015828,-6.997350768885147,1212
Malcolm Jenkins,2020,S,-38.05691714,-36.42999844,-1.6269187,-0.05827369486790928,-0.04943012,34465,-0.0133472453463529,-0.00389215,Malcolm Jenkins,NO,S,-20.888327900883162,-6.654524574902396,-14.23380332598077,1133
Derwin James,2018,S,-37.89135938,-37.09694296,-0.79441642,-0.0593966423963329,-0.04999588,46086,-0.00506474223330053,-0.00186046,Derwin James,LAC,S,-46.949568610333145,-39.22673197559739,-7.72283663473576,1247
Trevon Diggs,2021,CB,-37.867630850000005,-40.93112492,3.06349407,-0.07400503216978571,-0.06028148,52459,0.00437911358843306,0.00767793,Trevon Diggs,DAL,CB,-27.744163728470827,-34.37179968393128,6.627635955460449,1092
Jalen Ramsey,2021,CB,-37.83838865,-42.37635279,4.53796414,-0.06884899057621598,-0.05251097,43294,0.00381301988492449,0.00984374,Jalen Ramsey,LA,CB,-24.043967418929306,-23.926604634372193,-0.11736278455711213,1245
Whitney Mercilus,2016,EDGE,-37.83759242,-34.44571362,-3.3918788,-0.07219059924841431,-0.06402549,38556,-0.01100426446260631,-0.00916724,Whitney Mercilus,HST,ED,-43.97611702780033,-25.810784608997263,-18.16533241880306,1022
Aaron Donald,2020,IDL,-37.80659686,-31.41669438,-6.38990248,-0.03748656260545426,-0.05184273,41239,-0.02199238222708743,-0.01948141,Aaron Donald,LA,DI,-44.24084236206832,-43.48464522143501,-0.7561971406333121,921
Aaron Donald,2017,IDL,-37.73942316,-30.74859558,-6.9908275799999995,-0.03704504479333831,-0.05510501,41239,-0.02293027125444166,-0.02353814,Aaron Donald,LA,DI,-51.040367001080234,-45.89327232200428,-5.147094679075954,843
Daniel Sorensen,2020,S,-37.33906379,-35.50021587,-1.83884792,-0.05821222650217546,-0.04923747,41502,0.01084656517762066,-0.00505178,Daniel Sorensen,KC,S,-2.978104371903398,-7.714696980985708,4.736592609082308,1059
Malcolm Jenkins,2019,S,-37.298308819999995,-35.54209304,-1.75621578,-0.05063305990501746,-0.04991867,34465,-0.01445022579525549,-0.00483806,Malcolm Jenkins,PHI,S,-20.727310113583265,-6.822118299491821,-13.905191814091445,1079
Marcus Peters,2015,CB,-36.58888196,-42.22114344,5.6322614799999995,-0.04113390243838915,-0.05440869,42361,0.00852989705698393,0.01474414,Marcus Peters,KC,CB,-25.560983344610616,-30.030076901965575,4.469093557354961,1190
Jurrell Casey,2019,IDL,-36.54741824,-22.28520384,-14.2622144,-0.004514470148903,-0.03868959,37152,-0.03782286509617515,-0.0488432,Jurrell Casey,TEN,DI,-16.678080174820128,-12.382016733924473,-4.296063440895655,858
T.J. McDonald,2016,S,-35.127896469999996,-33.836228469999995,-1.291668,-0.0207566035862242,-0.05042657,40019,-0.01438967468833963,-0.00322917,T.J. McDonald,LA,S,-4.645317227418097,-5.03265512314873,0.3873378957306325,1101
Kendall Fuller,2018,CB,-35.070488250000004,-51.40976348,16.33927523,-0.04694387715342688,-0.06458513,43373,0.05528037267737553,0.03881063,Kendall Fuller,KC,CB,-20.783829524192935,-19.541723932648267,-1.24210559154467,1289
Mike Hilton,2021,CB,-34.83878976,-47.100532699999995,12.26174294,-0.0545422398729255,-0.06246755,43641,0.03690711213362416,0.04426622,Mike Hilton,CIN,CB,-27.858710177615045,-19.1237677209339,-8.734942456681145,1029
Jalen Ramsey,2017,CB,-34.24819644,-35.617504950000004,1.36930851,-0.06884899057621598,-0.04655883,43294,0.00381301988492449,0.00306333,Jalen Ramsey,JAX,CB,-48.93805262543631,-49.43545378518965,0.4974011597533369,1199
