pff_PLAYERNAME,Season,TotalBoxPM,TotalPassBoxPM,TotalRunBoxPM,PassPM,PassBoxPM,RunPM,RunBoxPM,PlayerID,Position,PlayerName,team,position,TotalEPAR,PassEPAR,RunEPAR,plays
Derrick Henry,2019,61.10848192,5.35057312,55.7579088,0.06367532909193316,0.02267192,0.12591525958653324,0.1408028,43334,RB,Derrick Henry,TEN,HB,25.320729660275926,-2.2900872808070956,25.10929919607728,712
Derrick Henry,2020,56.51906943,2.86990452,53.64916491,0.063020898771401,0.01138851,0.12591525958653324,0.13181613,43334,RB,Derrick Henry,TEN,HB,21.720826618563656,-7.527599274487315,29.24842589305097,738
Nick Chubb,2019,55.26856062,10.4039208,44.86463982,0.06215131278817425,0.0333459,0.1291596188904963,0.14661647,46104,RB,Nick Chubb,CLV,HB,12.200833304964927,-4.006008960293799,16.20684226525873,715
Jonathan Taylor,2021,49.47365299,3.8098349,45.66381809,0.01304531837471384,0.01228979,0.11913099591124812,0.13391149,52449,RB,Jonathan Taylor,IND,HB,30.918252006026055,4.991707319412913,25.926544686613145,753
Ezekiel Elliott,2018,47.82691844,11.87352536,35.95339308,-0.00371737419785702,0.02379464,0.09112607435163776,0.09904516,43293,RB,Ezekiel Elliott,DAL,HB,6.723754610852395,5.850616880384323,0.8731377304680737,997
Nick Chubb,2022,47.59886184,3.4866891200000003,44.11217272,0.06169948738518024,0.01281871,0.1291596188904963,0.14322134,46104,RB,Nick Chubb,CLV,HB,13.484822148788313,-3.6727009460962865,17.1575230948846,656
Ezekiel Elliott,2016,47.50992226,7.59343062,39.91649164,0.00315350642486278,0.02514381,0.09112607435163776,0.11149858,43293,RB,Ezekiel Elliott,DAL,HB,12.091382472469444,8.73878187281997,3.3526005996494725,760
Dalvin Cook,2020,44.8869652,5.4404840000000005,39.4464812,0.0128096197413913,0.0194303,0.0851491451421633,0.1225046,44853,RB,Dalvin Cook,MIN,HB,15.591438754410868,6.173676995947817,9.417761758463051,660
Le'Veon Bell,2017,43.47722352,17.166725800000002,26.31049772,0.03085881693771004,0.02885164,0.09012780665825366,0.07582276,39996,RB,Le'Veon Bell,PIT,HB,6.116193702962747,10.734033860088035,-4.617840157125288,1007
Derrick Henry,2022,42.82662417,4.75393822,38.07268595,0.06429814656299827,0.02307737,0.12428983768778064,0.10605205,43334,RB,Derrick Henry,TEN,HB,24.6358024973708,6.329511678638391,15.636997202355914,646
